iter	Precision_SumError	Precision_SumWeight	Recall_SumError	Recall_SumWeight	F1_TP	F1_TP+FN	F1_TP+FP
0	231	312	231	340	231	340	312
1	231	312	231	340	231	340	312
2	218	269	218	340	218	340	269
3	218	269	218	340	218	340	269
4	218	269	218	340	218	340	269
5	221	280	221	340	221	340	280
6	220	274	220	340	220	340	274
7	218	269	218	340	218	340	269
8	217	267	217	340	217	340	267
9	217	266	217	340	217	340	266
10	217	266	217	340	217	340	266
11	217	267	217	340	217	340	267
12	220	274	220	340	220	340	274
13	217	267	217	340	217	340	267
14	217	267	217	340	217	340	267
15	217	267	217	340	217	340	267
16	217	267	217	340	217	340	267
17	225	279	225	340	225	340	279
18	225	279	225	340	225	340	279
19	225	279	225	340	225	340	279
20	225	279	225	340	225	340	279
21	224	278	224	340	224	340	278
22	225	279	225	340	225	340	279
23	225	279	225	340	225	340	279
24	225	279	225	340	225	340	279
25	225	279	225	340	225	340	279
26	225	280	225	340	225	340	280
27	224	278	224	340	224	340	278
28	224	278	224	340	224	340	278
29	225	279	225	340	225	340	279
30	225	279	225	340	225	340	279
31	220	271	220	340	220	340	271
32	220	271	220	340	220	340	271
33	218	268	218	340	218	340	268
34	218	268	218	340	218	340	268
35	218	268	218	340	218	340	268
36	221	272	221	340	221	340	272
37	221	272	221	340	221	340	272
38	218	268	218	340	218	340	268
39	221	272	221	340	221	340	272
40	218	268	218	340	218	340	268
41	221	272	221	340	221	340	272
42	221	272	221	340	221	340	272
43	221	272	221	340	221	340	272
44	221	272	221	340	221	340	272
45	218	268	218	340	218	340	268
46	218	268	218	340	218	340	268
47	218	268	218	340	218	340	268
48	217	267	217	340	217	340	267
49	217	267	217	340	217	340	267
50	217	267	217	340	217	340	267
51	217	267	217	340	217	340	267
52	217	267	217	340	217	340	267
53	217	267	217	340	217	340	267
54	217	267	217	340	217	340	267
55	217	267	217	340	217	340	267
56	217	267	217	340	217	340	267
57	217	267	217	340	217	340	267
58	217	267	217	340	217	340	267
59	217	267	217	340	217	340	267
60	217	267	217	340	217	340	267
61	217	267	217	340	217	340	267
62	212	254	212	340	212	340	254
63	212	254	212	340	212	340	254
64	212	254	212	340	212	340	254
65	212	254	212	340	212	340	254
66	212	254	212	340	212	340	254
67	217	267	217	340	217	340	267
68	212	254	212	340	212	340	254
69	212	254	212	340	212	340	254
70	212	254	212	340	212	340	254
71	212	254	212	340	212	340	254
72	212	254	212	340	212	340	254
73	212	254	212	340	212	340	254
74	212	254	212	340	212	340	254
75	212	254	212	340	212	340	254
76	212	254	212	340	212	340	254
77	212	254	212	340	212	340	254
78	212	254	212	340	212	340	254
79	217	267	217	340	217	340	267
80	212	254	212	340	212	340	254
81	212	254	212	340	212	340	254
82	212	254	212	340	212	340	254
83	215	257	215	340	215	340	257
84	216	259	216	340	216	340	259
85	216	247	216	340	216	340	247
86	217	248	217	340	217	340	248
87	220	251	220	340	220	340	251
88	220	251	220	340	220	340	251
89	219	250	219	340	219	340	250
90	218	249	218	340	218	340	249
91	219	250	219	340	219	340	250
92	219	250	219	340	219	340	250
93	219	249	219	340	219	340	249
94	219	249	219	340	219	340	249
95	219	249	219	340	219	340	249
96	217	247	217	340	217	340	247
97	215	244	215	340	215	340	244
98	215	244	215	340	215	340	244
99	214	243	214	340	214	340	243
100	215	244	215	340	215	340	244
101	215	244	215	340	215	340	244
102	215	244	215	340	215	340	244
103	215	244	215	340	215	340	244
104	216	245	216	340	216	340	245
105	216	245	216	340	216	340	245
106	216	244	216	340	216	340	244
107	213	239	213	340	213	340	239
108	216	245	216	340	216	340	245
109	213	239	213	340	213	340	239
110	213	239	213	340	213	340	239
111	213	239	213	340	213	340	239
112	213	239	213	340	213	340	239
113	213	239	213	340	213	340	239
114	213	239	213	340	213	340	239
115	213	239	213	340	213	340	239
116	213	239	213	340	213	340	239
117	215	242	215	340	215	340	242
118	215	242	215	340	215	340	242
119	215	242	215	340	215	340	242
120	216	243	216	340	216	340	243
121	216	243	216	340	216	340	243
122	216	243	216	340	216	340	243
123	216	243	216	340	216	340	243
124	216	243	216	340	216	340	243
125	216	243	216	340	216	340	243
126	216	243	216	340	216	340	243
127	216	243	216	340	216	340	243
128	216	243	216	340	216	340	243
129	217	245	217	340	217	340	245
130	216	243	216	340	216	340	243
131	217	245	217	340	217	340	245
132	216	243	216	340	216	340	243
133	216	243	216	340	216	340	243
134	216	243	216	340	216	340	243
135	216	243	216	340	216	340	243
136	216	243	216	340	216	340	243
137	218	246	218	340	218	340	246
138	218	246	218	340	218	340	246
139	217	245	217	340	217	340	245
140	217	245	217	340	217	340	245
141	218	246	218	340	218	340	246
142	217	244	217	340	217	340	244
143	218	246	218	340	218	340	246
144	218	247	218	340	218	340	247
145	218	246	218	340	218	340	246
146	218	246	218	340	218	340	246
147	218	246	218	340	218	340	246
148	219	247	219	340	219	340	247
149	218	245	218	340	218	340	245
150	218	245	218	340	218	340	245
151	218	245	218	340	218	340	245
152	219	247	219	340	219	340	247
153	219	247	219	340	219	340	247
154	219	247	219	340	219	340	247
155	219	247	219	340	219	340	247
156	219	247	219	340	219	340	247
157	218	245	218	340	218	340	245
158	218	245	218	340	218	340	245
159	218	245	218	340	218	340	245
160	218	245	218	340	218	340	245
161	218	245	218	340	218	340	245
162	218	245	218	340	218	340	245
163	219	247	219	340	219	340	247
164	218	245	218	340	218	340	245
165	220	249	220	340	220	340	249
166	220	249	220	340	220	340	249
167	219	248	219	340	219	340	248
168	219	248	219	340	219	340	248
169	219	248	219	340	219	340	248
170	219	248	219	340	219	340	248
171	219	248	219	340	219	340	248
172	219	248	219	340	219	340	248
173	219	248	219	340	219	340	248
174	219	248	219	340	219	340	248
175	219	248	219	340	219	340	248
176	219	248	219	340	219	340	248
177	219	248	219	340	219	340	248
178	219	248	219	340	219	340	248
179	219	248	219	340	219	340	248
180	219	248	219	340	219	340	248
181	219	248	219	340	219	340	248
182	219	248	219	340	219	340	248
183	220	249	220	340	220	340	249
184	220	249	220	340	220	340	249
185	222	251	222	340	222	340	251
186	222	251	222	340	222	340	251
187	222	251	222	340	222	340	251
188	221	250	221	340	221	340	250
189	221	250	221	340	221	340	250
190	222	251	222	340	222	340	251
191	223	252	223	340	223	340	252
192	223	252	223	340	223	340	252
193	223	252	223	340	223	340	252
194	223	252	223	340	223	340	252
195	223	252	223	340	223	340	252
196	223	252	223	340	223	340	252
197	223	252	223	340	223	340	252
198	224	253	224	340	224	340	253
199	224	253	224	340	224	340	253
200	224	253	224	340	224	340	253
201	224	253	224	340	224	340	253
202	224	253	224	340	224	340	253
203	224	253	224	340	224	340	253
204	224	253	224	340	224	340	253
205	224	253	224	340	224	340	253
206	225	254	225	340	225	340	254
207	224	253	224	340	224	340	253
208	225	254	225	340	225	340	254
209	225	254	225	340	225	340	254
210	225	254	225	340	225	340	254
211	225	254	225	340	225	340	254
212	225	254	225	340	225	340	254
213	225	254	225	340	225	340	254
214	225	254	225	340	225	340	254
215	225	254	225	340	225	340	254
216	225	254	225	340	225	340	254
217	225	254	225	340	225	340	254
218	225	254	225	340	225	340	254
219	225	254	225	340	225	340	254
220	225	254	225	340	225	340	254
221	225	254	225	340	225	340	254
222	225	254	225	340	225	340	254
223	225	254	225	340	225	340	254
224	225	254	225	340	225	340	254
225	225	254	225	340	225	340	254
226	225	254	225	340	225	340	254
227	225	254	225	340	225	340	254
228	225	254	225	340	225	340	254
229	225	254	225	340	225	340	254
230	225	254	225	340	225	340	254
231	225	254	225	340	225	340	254
232	225	254	225	340	225	340	254
233	225	254	225	340	225	340	254
234	225	254	225	340	225	340	254
235	225	254	225	340	225	340	254
236	225	254	225	340	225	340	254
237	225	254	225	340	225	340	254
238	225	254	225	340	225	340	254
239	225	254	225	340	225	340	254
240	225	254	225	340	225	340	254
241	225	254	225	340	225	340	254
242	225	254	225	340	225	340	254
243	225	254	225	340	225	340	254
244	225	254	225	340	225	340	254
245	225	254	225	340	225	340	254
246	226	255	226	340	226	340	255
247	225	254	225	340	225	340	254
248	226	255	226	340	226	340	255
249	226	255	226	340	226	340	255
250	226	255	226	340	226	340	255
251	226	255	226	340	226	340	255
252	227	256	227	340	227	340	256
253	231	260	231	340	231	340	260
254	231	260	231	340	231	340	260
255	231	260	231	340	231	340	260
256	231	260	231	340	231	340	260
257	231	260	231	340	231	340	260
258	231	260	231	340	231	340	260
259	231	260	231	340	231	340	260
260	231	260	231	340	231	340	260
261	231	260	231	340	231	340	260
262	231	260	231	340	231	340	260
263	232	261	232	340	232	340	261
264	232	261	232	340	232	340	261
265	233	262	233	340	233	340	262
266	233	262	233	340	233	340	262
267	231	260	231	340	231	340	260
268	234	262	234	340	234	340	262
269	234	262	234	340	234	340	262
270	233	260	233	340	233	340	260
271	233	260	233	340	233	340	260
272	231	258	231	340	231	340	258
273	231	258	231	340	231	340	258
274	231	258	231	340	231	340	258
275	231	258	231	340	231	340	258
276	231	258	231	340	231	340	258
277	232	262	232	340	232	340	262
278	232	262	232	340	232	340	262
279	232	262	232	340	232	340	262
280	232	262	232	340	232	340	262
281	232	262	232	340	232	340	262
282	232	262	232	340	232	340	262
283	232	262	232	340	232	340	262
284	232	262	232	340	232	340	262
285	235	265	235	340	235	340	265
286	235	265	235	340	235	340	265
287	235	263	235	340	235	340	263
288	235	263	235	340	235	340	263
289	238	266	238	340	238	340	266
290	237	265	237	340	237	340	265
291	238	266	238	340	238	340	266
292	239	267	239	340	239	340	267
293	239	267	239	340	239	340	267
294	239	267	239	340	239	340	267
295	239	267	239	340	239	340	267
296	239	267	239	340	239	340	267
297	239	267	239	340	239	340	267
298	239	267	239	340	239	340	267
299	239	267	239	340	239	340	267
300	239	267	239	340	239	340	267
301	239	267	239	340	239	340	267
302	239	267	239	340	239	340	267
303	239	267	239	340	239	340	267
304	239	267	239	340	239	340	267
305	239	267	239	340	239	340	267
306	239	267	239	340	239	340	267
307	237	265	237	340	237	340	265
308	237	265	237	340	237	340	265
309	237	265	237	340	237	340	265
310	237	265	237	340	237	340	265
311	237	265	237	340	237	340	265
312	237	265	237	340	237	340	265
313	237	265	237	340	237	340	265
314	237	265	237	340	237	340	265
315	237	265	237	340	237	340	265
316	237	265	237	340	237	340	265
317	237	265	237	340	237	340	265
318	237	265	237	340	237	340	265
319	237	265	237	340	237	340	265
320	237	265	237	340	237	340	265
321	239	267	239	340	239	340	267
322	237	265	237	340	237	340	265
323	237	265	237	340	237	340	265
324	237	265	237	340	237	340	265
325	237	265	237	340	237	340	265
326	237	265	237	340	237	340	265
327	239	267	239	340	239	340	267
328	239	267	239	340	239	340	267
329	239	267	239	340	239	340	267
330	239	267	239	340	239	340	267
331	239	267	239	340	239	340	267
332	239	267	239	340	239	340	267
333	239	267	239	340	239	340	267
334	239	267	239	340	239	340	267
335	239	267	239	340	239	340	267
336	239	267	239	340	239	340	267
337	239	267	239	340	239	340	267
338	239	267	239	340	239	340	267
339	239	267	239	340	239	340	267
340	239	267	239	340	239	340	267
341	239	269	239	340	239	340	269
342	239	269	239	340	239	340	269
343	239	267	239	340	239	340	267
344	239	267	239	340	239	340	267
345	239	267	239	340	239	340	267
346	239	267	239	340	239	340	267
347	239	267	239	340	239	340	267
348	239	267	239	340	239	340	267
349	239	267	239	340	239	340	267
350	239	267	239	340	239	340	267
351	239	267	239	340	239	340	267
352	239	267	239	340	239	340	267
353	239	267	239	340	239	340	267
354	239	267	239	340	239	340	267
355	239	267	239	340	239	340	267
356	239	267	239	340	239	340	267
357	239	267	239	340	239	340	267
358	239	267	239	340	239	340	267
359	239	267	239	340	239	340	267
360	240	268	240	340	240	340	268
361	240	268	240	340	240	340	268
362	241	269	241	340	241	340	269
363	241	269	241	340	241	340	269
364	241	269	241	340	241	340	269
365	241	269	241	340	241	340	269
366	241	269	241	340	241	340	269
367	241	269	241	340	241	340	269
368	241	269	241	340	241	340	269
369	241	269	241	340	241	340	269
370	241	269	241	340	241	340	269
371	241	269	241	340	241	340	269
372	241	269	241	340	241	340	269
373	241	269	241	340	241	340	269
374	241	269	241	340	241	340	269
375	242	270	242	340	242	340	270
376	242	270	242	340	242	340	270
377	242	270	242	340	242	340	270
378	242	270	242	340	242	340	270
379	242	270	242	340	242	340	270
380	242	270	242	340	242	340	270
381	242	270	242	340	242	340	270
382	242	270	242	340	242	340	270
383	243	271	243	340	243	340	271
384	243	271	243	340	243	340	271
385	244	272	244	340	244	340	272
386	244	272	244	340	244	340	272
387	244	272	244	340	244	340	272
388	243	271	243	340	243	340	271
389	244	272	244	340	244	340	272
390	244	272	244	340	244	340	272
391	244	272	244	340	244	340	272
392	244	272	244	340	244	340	272
393	244	272	244	340	244	340	272
394	244	272	244	340	244	340	272
395	244	272	244	340	244	340	272
396	245	273	245	340	245	340	273
397	245	273	245	340	245	340	273
398	245	273	245	340	245	340	273
399	245	273	245	340	245	340	273
400	245	273	245	340	245	340	273
401	245	273	245	340	245	340	273
402	245	273	245	340	245	340	273
403	245	273	245	340	245	340	273
404	245	273	245	340	245	340	273
405	246	274	246	340	246	340	274
406	245	273	245	340	245	340	273
407	245	273	245	340	245	340	273
408	245	273	245	340	245	340	273
409	245	273	245	340	245	340	273
410	245	273	245	340	245	340	273
411	245	273	245	340	245	340	273
412	247	274	247	340	247	340	274
413	247	275	247	340	247	340	275
414	248	276	248	340	248	340	276
415	247	274	247	340	247	340	274
416	248	275	248	340	248	340	275
417	248	275	248	340	248	340	275
418	248	275	248	340	248	340	275
419	248	275	248	340	248	340	275
420	248	276	248	340	248	340	276
421	248	276	248	340	248	340	276
422	248	276	248	340	248	340	276
423	251	279	251	340	251	340	279
424	251	279	251	340	251	340	279
425	251	279	251	340	251	340	279
426	251	279	251	340	251	340	279
427	252	280	252	340	252	340	280
428	252	280	252	340	252	340	280
429	252	280	252	340	252	340	280
430	252	280	252	340	252	340	280
431	252	280	252	340	252	340	280
432	252	280	252	340	252	340	280
433	252	280	252	340	252	340	280
434	252	280	252	340	252	340	280
435	252	279	252	340	252	340	279
436	252	279	252	340	252	340	279
437	252	279	252	340	252	340	279
438	252	279	252	340	252	340	279
439	252	279	252	340	252	340	279
440	252	279	252	340	252	340	279
441	252	279	252	340	252	340	279
442	252	279	252	340	252	340	279
443	253	280	253	340	253	340	280
444	253	280	253	340	253	340	280
445	253	280	253	340	253	340	280
446	253	280	253	340	253	340	280
447	253	280	253	340	253	340	280
448	253	280	253	340	253	340	280
449	253	280	253	340	253	340	280
450	253	280	253	340	253	340	280
451	253	280	253	340	253	340	280
452	253	280	253	340	253	340	280
453	253	280	253	340	253	340	280
454	253	280	253	340	253	340	280
455	253	280	253	340	253	340	280
456	253	280	253	340	253	340	280
457	253	280	253	340	253	340	280
458	253	280	253	340	253	340	280
459	253	280	253	340	253	340	280
460	254	281	254	340	254	340	281
461	254	281	254	340	254	340	281
462	254	281	254	340	254	340	281
463	254	281	254	340	254	340	281
464	254	281	254	340	254	340	281
465	254	281	254	340	254	340	281
466	254	281	254	340	254	340	281
467	254	281	254	340	254	340	281
468	254	281	254	340	254	340	281
469	254	282	254	340	254	340	282
470	254	282	254	340	254	340	282
471	254	282	254	340	254	340	282
472	254	282	254	340	254	340	282
473	256	284	256	340	256	340	284
474	256	284	256	340	256	340	284
475	256	284	256	340	256	340	284
476	256	284	256	340	256	340	284
477	256	284	256	340	256	340	284
478	256	284	256	340	256	340	284
479	259	288	259	340	259	340	288
480	259	288	259	340	259	340	288
481	259	288	259	340	259	340	288
482	259	288	259	340	259	340	288
483	259	288	259	340	259	340	288
484	259	288	259	340	259	340	288
485	259	288	259	340	259	340	288
486	259	288	259	340	259	340	288
487	259	288	259	340	259	340	288
488	259	288	259	340	259	340	288
489	259	288	259	340	259	340	288
490	259	288	259	340	259	340	288
491	259	288	259	340	259	340	288
492	259	288	259	340	259	340	288
493	259	288	259	340	259	340	288
494	259	288	259	340	259	340	288
495	259	288	259	340	259	340	288
496	259	288	259	340	259	340	288
497	259	288	259	340	259	340	288
498	259	288	259	340	259	340	288
499	259	288	259	340	259	340	288
